Speech File,Min Pitch,Max Pitch,Mean Pitch,Sd Pitch,Min Intensity,Max Intensity,Mean Intensity,Sd Intensity,Speaking Rate,Jitter,Shimmer,HNR
Happy,70.98644625868555,411.19997980309165,230.96878822529337,56.133882809794535,24.125300535072636,59.31799744944046,50.11153658090799,9.234456772566917,2.517988756480761,0.022516562293969363,0.09119284308712204,10.581012860310368
Angry,146.68831174249658,466.7324153459682,232.26113184194392,54.24233812730236,24.65259946547872,62.52089884812506,54.44776909585563,9.923762916375823,2.8536324362886925,0.019494646747193246,0.07847527660457712,9.91511524867211
Sad,67.12044626978023,254.10032295006746,169.22153254920335,36.46399525123954,22.576248544968003,53.171492022758954,44.423527970343734,8.014263154513737,2.5401193326894833,0.021097347027554867,0.09126779294666562,8.799993462167718
Afraid,67.16306110108746,587.7377065588017,194.35527251840261,59.90242129012741,23.61191550388107,61.39492879105902,50.33051463778912,9.157659394972727,2.403294516232669,0.02524094545968669,0.10300444474432627,6.527655099281022
Surprised,76.9537947980413,402.02532435304573,266.7870546280126,60.08481244481652,22.023234457987424,60.04335211160607,51.943238295143686,9.460735223183159,2.990002180209923,0.02039880490582555,0.07591063524402246,10.146323539077668
Disgusted,75.48192432371034,449.1190177146626,163.6084243200483,39.01952464461355,24.129813132829135,57.01117554361696,47.280465744273954,7.83289117736551,2.508175520032746,0.031132785503224358,0.11696250697119125,6.539924325017393
Neutral,71.86098617264736,311.5644230252906,154.7012357546086,58.16052953818387,23.303385824160333,56.9904197552974,47.67310732804067,7.945281912429275,2.7638359740122644,0.026631958573391522,0.09960048589763225,8.697688223697051
